split,threshold,n,FR,mean_tox
neutral_generic,0.5,25,0.0,0.10192
neutral_injected,0.5,25,0.24,0.4414112
crisis,0.5,1000,0.887,0.8289847199999998
baseline,0.5,1000,0.131,0.24343584000000004
neutral_generic,0.7,25,0.0,0.10192
neutral_injected,0.7,25,0.0,0.4414112
crisis,0.7,1000,0.746,0.8289847199999998
baseline,0.7,1000,0.055,0.24343584000000004
neutral_generic,0.8,25,0.0,0.10192
neutral_injected,0.8,25,0.0,0.4414112
crisis,0.8,1000,0.743,0.8289847199999998
baseline,0.8,1000,0.047,0.24343584000000004
